,candidate_id,state,donation_count,total_raised,cycle
589,S0WV00090,CO,83,66120.0,2018
590,S0WV00090,CT,98,114025.0,2018
591,S0WV00090,DC,162,143454.37,2018
592,S0WV00090,DE,9,7550.0,2018
593,S0WV00090,FL,144,154670.0,2018
594,S0WV00090,GA,95,79480.0,2018
595,S0WV00090,HI,4,6150.0,2018
596,S0WV00090,ID,5,6200.0,2018
597,S0WV00090,IL,224,270459.33,2018
598,S0WV00090,IN,7,1100.0,2018
599,S0WV00090,KS,5,8400.0,2018
600,S0WV00090,KY,6,3000.0,2018
601,S0WV00090,LA,28,29575.0,2018
602,S0WV00090,MA,137,150459.36,2018
603,S8MD00260,AL,2,100.0,2018
604,S8MD00260,CA,33,28656.0,2018
605,S8MD00260,CO,4,6400.0,2018
606,S8MD00260,DC,2,500.0,2018
607,S8MD00260,IL,8,6410.0,2018
608,S8MD00260,KS,6,600.0,2018
609,S8MD00260,MA,4,5900.0,2018
610,S8MD00260,MN,1,2700.0,2018
611,S8MD00260,NC,2,500.0,2018
612,S8MD00260,NE,1,250.0,2018
613,S8MD00260,NJ,4,1000.0,2018
614,S8MD00260,NY,23,10970.0,2018
615,S8MD00260,OR,3,525.0,2018
616,S8MD00260,OT,2,500.0,2018
617,S8MD00260,RI,2,5400.0,2018
618,S8MD00260,VA,3,750.0,2018
619,S8MD00260,WA,8,8440.0,2018
620,S8MD00260,WI,2,1000.0,2018
621,S6MO00305,AA,5,1950.0,2018
622,S6MO00305,AE,54,2298.0,2018
623,S6MO00305,AK,352,26148.76,2018
624,S6MO00305,AL,337,61863.85,2018
625,S6MO00305,AP,4,1500.0,2018
626,S6MO00305,AR,553,77667.91,2018
627,S6MO00305,AZ,1211,147659.43,2018
628,S6MO00305,CA,19871,5132502.91,2018
629,S6MO00305,CO,1917,563642.78,2018
630,S6MO00305,CT,2009,328975.1,2018
631,S6MO00305,DC,2203,743372.81,2018
